TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202607171800,0.175,,0.200,,0.375,0.200,0.375,0.200,0.375
202607171806,0.178,,,,,,,,
202607171812,0.181,,,,,,,,
202607171818,0.184,,,,,,,,
202607171824,0.188,,,,,,,,
202607171830,0.191,,,,,,,,
202607171836,0.194,,,,,,,,
202607171842,0.198,,,,,,,,
202607171848,0.202,,,,,,,,
202607171854,0.205,,,,,,,,
202607171900,0.209,0.059,0.200,-0.350,0.059,0.200,0.059,0.200,0.059
202607171906,0.213,0.059,,,,,,,
202607171912,0.216,0.059,,,,,,,
202607171918,0.220,0.059,,,,,,,
202607171924,0.224,0.059,,,,,,,
202607171930,0.228,,,,,,,,
202607171936,0.232,,,,,,,,
202607171942,0.236,,,,,,,,
202607171948,0.240,,,,,,,,
202607171954,0.244,,,,,,,,
202607172000,0.248,,0.200,,0.448,0.200,0.448,0.200,0.448
202607172006,0.252,0.098,,,,,,,
202607172012,0.257,0.121,,,,,,,
202607172018,0.261,0.121,,,,,,,
202607172024,0.265,,,,,,,,
202607172030,0.270,,,,,,,,
202607172036,0.273,,,,,,,,
202607172042,0.277,0.150,,,,,,,
202607172048,0.282,0.150,,,,,,,
202607172054,0.286,0.160,,,,,,,
202607172100,0.290,0.160,0.200,-0.330,0.160,0.200,0.160,0.200,0.160
202607172106,0.294,,,,,,,,
202607172112,0.298,,,,,,,,
202607172118,0.302,,,,,,,,
202607172124,0.306,,,,,,,,
202607172130,0.310,,,,,,,,
202607172136,0.314,0.190,,,,,,,
202607172142,0.318,0.200,,,,,,,
202607172148,0.322,0.200,,,,,,,
202607172154,0.326,,,,,,,,
202607172200,0.330,,0.200,,0.530,0.200,0.530,0.200,0.530
202607172206,0.334,,,,,,,,
202607172212,0.338,,,,,,,,
202607172218,0.342,,,,,,,,
202607172224,0.345,0.262,,,,,,,
202607172230,0.349,,,,,,,,
202607172236,0.353,,,,,,,,
202607172242,0.357,,,,,,,,
202607172248,0.360,0.259,,,,,,,
202607172254,0.364,0.259,,,,,,,
202607172300,0.368,0.259,0.200,-0.309,0.259,0.200,0.259,0.200,0.259
202607172306,0.371,0.268,,,,,,,
202607172312,0.375,0.278,,,,,,,
202607172318,0.379,0.288,,,,,,,
202607172324,0.382,0.288,,,,,,,
202607172330,0.386,0.298,,,,,,,
202607172336,0.389,0.298,,,,,,,
202607172342,0.393,0.308,,,,,,,
202607172348,0.396,0.321,,,,,,,
202607172354,0.400,0.321,,,,,,,
202607180000,0.403,0.321,0.200,-0.282,0.321,0.200,0.321,0.200,0.321
202607180006,0.406,0.341,,,,,,,
202607180012,0.410,0.341,,,,,,,
202607180018,0.413,0.341,,,,,,,
202607180024,0.416,0.341,,,,,,,
202607180030,0.420,0.341,,,,,,,
202607180036,0.423,0.350,,,,,,,
202607180042,0.426,0.350,,,,,,,
202607180048,0.429,0.350,,,,,,,
202607180054,0.432,0.350,,,,,,,
202607180100,0.435,0.370,0.200,-0.265,0.370,0.200,0.370,0.200,0.370
202607180106,0.438,0.380,,,,,,,
202607180112,0.441,0.380,,,,,,,
202607180118,0.443,0.370,,,,,,,
202607180124,0.446,0.360,,,,,,,
202607180130,0.449,0.370,,,,,,,
202607180136,0.451,0.380,,,,,,,
202607180142,0.453,0.390,,,,,,,
202607180148,0.456,0.400,,,,,,,
202607180154,0.458,0.400,,,,,,,
202607180200,0.460,0.400,0.200,-0.260,0.400,0.200,0.400,0.200,0.400
202607180206,0.462,0.400,,,,,,,
202607180212,0.463,0.400,,,,,,,
202607180218,0.465,0.409,,,,,,,
202607180224,0.466,0.409,,,,,,,
202607180230,0.468,0.400,,,,,,,
202607180236,0.469,0.409,,,,,,,
202607180242,0.470,0.409,,,,,,,
202607180248,0.471,0.409,,,,,,,
202607180254,0.472,0.409,,,,,,,
202607180300,0.472,0.409,0.200,-0.263,0.409,0.200,0.409,0.200,0.409
202607180306,0.473,0.419,,,,,,,
202607180312,0.473,0.429,,,,,,,
202607180318,0.473,0.429,,,,,,,
202607180324,0.473,0.429,,,,,,,
202607180330,0.473,0.429,,,,,,,
202607180336,0.472,0.429,,,,,,,
202607180342,0.472,0.419,,,,,,,
202607180348,0.471,0.419,,,,,,,
202607180354,0.470,0.419,,,,,,,
202607180400,0.469,0.419,0.200,-0.250,0.419,0.200,0.419,0.200,0.419
202607180406,0.468,0.409,,,,,,,
202607180412,0.467,0.409,,,,,,,
202607180418,0.465,0.409,,,,,,,
202607180424,0.464,0.409,,,,,,,
202607180430,0.462,0.409,,,,,,,
202607180436,0.460,0.400,,,,,,,
202607180442,0.458,0.400,,,,,,,
202607180448,0.456,0.400,,,,,,,
202607180454,0.454,0.390,,,,,,,
202607180500,0.451,0.380,0.200,-0.271,0.380,0.200,0.380,0.200,0.380
