TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202608171200,0.794,,0.300,,1.094,0.200,0.994,0.300,1.094
202608171206,0.784,,,,,,,,
202608171212,0.773,,,,,,,,
202608171218,0.762,,,,,,,,
202608171224,0.751,,,,,,,,
202608171230,0.741,,,,,,,,
202608171236,0.730,,,,,,,,
202608171242,0.719,,,,,,,,
202608171248,0.709,,,,,,,,
202608171254,0.698,,,,,,,,
202608171300,0.688,0.898,0.200,0.010,0.898,0.200,0.898,0.300,0.998
202608171306,0.677,0.879,,,,,,,
202608171312,0.667,0.869,,,,,,,
202608171318,0.657,0.849,,,,,,,
202608171324,0.647,0.849,,,,,,,
202608171330,0.638,0.829,,,,,,,
202608171336,0.628,0.819,,,,,,,
202608171342,0.619,0.800,,,,,,,
202608171348,0.610,0.790,,,,,,,
202608171354,0.601,0.780,,,,,,,
202608171400,0.592,0.780,0.200,-0.012,0.780,0.200,0.780,0.200,0.780
202608171406,0.584,0.770,,,,,,,
202608171412,0.575,0.741,,,,,,,
202608171418,0.567,0.741,,,,,,,
202608171424,0.560,0.718,,,,,,,
202608171430,0.552,0.731,,,,,,,
202608171436,0.545,0.718,,,,,,,
202608171442,0.538,0.698,,,,,,,
202608171448,0.531,0.688,,,,,,,
202608171454,0.524,0.678,,,,,,,
202608171500,0.518,0.678,0.200,-0.040,0.678,0.200,0.678,0.200,0.678
202608171506,0.511,0.649,,,,,,,
202608171512,0.505,0.669,,,,,,,
202608171518,0.499,0.669,,,,,,,
202608171524,0.494,0.669,,,,,,,
202608171530,0.488,0.649,,,,,,,
202608171536,0.483,0.659,,,,,,,
202608171542,0.478,0.619,,,,,,,
202608171548,0.473,0.619,,,,,,,
202608171554,0.468,0.600,,,,,,,
202608171600,0.463,0.600,0.200,-0.063,0.600,0.200,0.600,0.200,0.600
202608171606,0.459,0.600,,,,,,,
202608171612,0.455,0.600,,,,,,,
202608171618,0.450,0.600,,,,,,,
202608171624,0.447,0.590,,,,,,,
202608171630,0.443,0.610,,,,,,,
202608171636,0.439,0.580,,,,,,,
202608171642,0.436,0.590,,,,,,,
202608171648,0.433,0.600,,,,,,,
202608171654,0.430,0.600,,,,,,,
202608171700,0.427,0.580,0.200,-0.047,0.580,0.200,0.580,0.200,0.580
202608171706,0.425,0.560,,,,,,,
202608171712,0.423,0.560,,,,,,,
202608171718,0.421,0.560,,,,,,,
202608171724,0.420,0.541,,,,,,,
202608171730,0.419,0.541,,,,,,,
202608171736,0.418,0.551,,,,,,,
202608171742,0.417,0.531,,,,,,,
202608171748,0.417,0.541,,,,,,,
202608171754,0.417,0.551,,,,,,,
